gameId,playId,nflId,tackle,assist,forcedFumble,pff_missedTackle,week,ballCarrierId,player_x,player_y,player_s,player_a,player_dir,ball_x,ball_y,ball_s,ball_a,ball_dir
2022090800,101,42816,1,0,0,0,1,47857,68.42,44.08,3.16,5.57,103.02,74.99,38.35,7.26,2.37,313.06
2022090800,393,46232,1,0,0,0,1,47853,51.69,22.65,1.32,0.56,143.9,51.9,22.31,0.86,2.38,107.61
2022090800,486,40166,1,0,0,0,1,44881,63.8,20.19,2.52,2.46,256.94,63.67,19.94,1.81,4.3,239.84
2022090800,646,47939,1,0,0,0,1,47879,59.76,9.15,4.67,3.47,171.05,60.56,8.75,6.56,1.68,196.07
2022090800,818,40107,1,0,0,0,1,47853,80.71,5.31,2.08,5.07,85.39,81.99,5.48,2.67,2.32,278.58
2022090800,1286,44976,1,0,0,0,1,44881,39.2,4.87,6.44,3.41,162.45,44.3,2.39,5.65,5.16,226.07
2022090800,1736,44976,1,0,0,0,1,52460,39.42,34.52,2.54,2.72,123.79,47.06,30.01,2.62,4.59,300.43
2022090800,2860,46085,1,0,0,0,1,44881,71.29,32.68,3.57,1.15,49.45,74.78,35.55,0.56,1.77,185.12
2022090800,3092,46190,1,0,0,0,1,47853,84.59,10.76,8.64,0.95,156.37,91.58,8.15,7.82,1.05,228.26
2022090800,3145,52647,1,0,0,0,1,47853,76.31,32.03,2.4,2.15,95.52,77.64,31.32,1.63,1.76,317.88
2022090800,3362,46190,1,0,0,0,1,47853,80.74,17.77,1.88,1.19,36.7,88.56,25.18,2.65,4.6,208.12
2022090800,3383,54488,1,0,0,0,1,44881,77.77,41.78,1.96,4.44,72.61,77.93,41.47,0.57,2.44,119.44
2022091100,1260,44851,1,0,0,0,1,39975,80.24,20.3,1.12,5.26,138.7,82.12,19.76,4.73,2.48,312.13
2022091100,1672,40017,1,0,0,0,1,39975,42.6,15.24,4.1,3.3,132.84,45.66,15.77,3.35,3.51,218.36
2022091100,2114,53469,1,0,0,0,1,45244,61.6,31.14,3.86,3.21,70.01,66.34,29.89,6.0,0.66,309.53
2022091100,2353,38607,1,0,0,0,1,39975,55.65,15.67,5.81,1.59,204.09,52.74,16.06,6.87,1.27,147.6
2022091100,2512,53611,1,0,0,0,1,45244,71.21,44.28,5.81,2.32,356.81,71.63,44.71,7.76,2.32,326.53
2022091100,2640,44862,1,0,0,0,1,42345,94.36,23.11,4.32,1.87,179.09,89.04,19.25,5.57,3.99,137.93
2022091100,2878,53489,1,0,0,0,1,53612,74.81,30.21,3.16,1.05,183.16,71.19,29.22,6.01,0.74,90.21
2022091100,2899,37097,1,0,0,0,1,53612,76.42,33.22,4.06,4.09,1.91,75.63,34.13,4.74,2.47,51.2
2022091100,3647,53469,1,0,0,0,1,41292,104.87,43.21,7.64,3.87,332.69,102.63,44.07,5.17,2.01,3.75
2022091100,3778,53489,1,0,0,0,1,39975,68.66,24.1,1.31,4.58,89.12,71.8,27.57,6.23,4.25,246.55
2022091101,1691,53481,1,0,0,0,1,44820,80.14,11.73,7.24,0.79,169.66,85.66,6.27,6.89,1.75,200.44
2022091101,1744,44903,1,0,0,0,1,46170,23.07,8.9,9.15,2.01,226.28,23.55,5.96,8.43,2.78,241.74
2022091101,1785,52452,1,0,0,0,1,53512,8.97,9.61,6.97,2.2,161.02,13.38,8.46,4.96,2.52,193.37
2022091101,2051,46527,1,0,0,0,1,46104,101.67,20.57,1.0,1.37,48.41,101.85,21.06,0.54,1.55,87.97
2022091101,3221,47799,1,0,0,0,1,46104,87.1,28.45,6.56,3.26,352.94,87.66,29.97,5.63,1.78,313.58
2022091102,86,44938,1,0,0,0,1,47856,85.04,19.83,4.43,1.42,202.61,86.32,18.75,5.12,2.62,237.8
2022091102,531,52571,1,0,0,0,1,53623,74.47,27.67,4.09,2.73,45.65,74.68,28.2,4.27,1.77,67.64
2022091102,756,53609,1,0,0,0,1,53646,76.88,12.21,6.27,1.23,89.41,81.6,15.56,5.07,1.59,181.68
2022091102,1493,54504,1,0,0,0,1,47819,81.09,37.63,3.34,5.65,81.85,82.88,36.93,4.35,2.71,285.03
2022091102,2065,54504,1,0,0,0,1,47819,78.69,35.01,7.1,2.43,269.29,78.44,35.29,6.76,3.36,272.26
